Numeric Value,Category Name,Sub
271,Пироги с мясом птицы и грибами,3_6_10_6
272,Пирожки с мясным фаршем и луком,3_6_10_2
273,Пирожки с печенью,3_6_10_4
274,Расстегаи с мясом,3_6_10_3
275,Чебуреки с мясом,3_6_10_7
276,Бутерброд с колбасой,3_6_11_2
277,Бутерброд разный,3_6_11_3
278,Бутерброд с мясом,3_6_11_1
279,Сардельки говяжьи,3_6_2_1
280,Шпикачки,3_6_2_2
281,Сосиски говяжьи,3_6_3_1
282,Сосиски ветчинные,3_6_3_4
283,Сосиски Молочные,3_6_3_2
284,Сосиски разные,3_6_3_5
285,Сосиски Столичные,3_6_3_3
286,Зельц,3_6_4_1
287,Мясной Хлеб,3_6_4_2
288,Колбаса варено-копченая ассорти,3_6_5_4
289,Колбаса Московская варено-копченая,3_6_5_3
290,Колбаса Салями варено-копченая,3_6_5_2
291,Колбаса Сервелат варено-копченая,3_6_5_1
292,Колбаса Краковская полукопченая,3_6_6_3
293,Колбаса полукопченая ассорти,3_6_6_4
294,Колбаса Салями полукопченая,3_6_6_2
295,Колбаса Сервелат полукопченая,3_6_6_1
296,Колбаса Брауншвейгская сырокопченая,3_6_7_4
297,Колбаса Зернистая сырокопченая,3_6_7_3
298,Колбаса Салями сырокопченая,3_6_7_2
299,Колбаса Сервелат сырокопченая,3_6_7_1
300,Колбаса сырокопченая ассорти,3_6_7_6
301,Колбаса сырокопченая Пепперони,3_6_7_5
302,Балык свиной,3_6_8_4
303,Бекон сырокопченый,3_6_8_5
304,Буженина,3_6_8_1
305,Ветчина,3_6_8_2
306,Грудинка копчено-запечёная,3_6_8_8
307,Грудинка варено-копченая,3_6_8_9
308,Грудинка сырокопченая,3_6_8_10
309,Карбонад,3_6_8_3
310,Корёйка копчёно-запеченная,3_6_8_11
311,Корейка сырокопченая,3_6_8_12
312,Окорок тамбовский варёный,3_6_8_6
313,Окорок свиной копченый,3_6_8_7
314,Ветчина говяжья,3_6_9_1
315,Бутерброд  с  сельдью ,4_1_28
316,Иваси,4_1_26
317,Иваси консервы,4_1_27
318,Килька  балтийская ,4_1_1
319,Килька  балтийская  солёная ,4_1_3
320,Килька обжареная. Консервы,4_1_8
321,Салака горячего копчения ,4_1_11
322,Салат сельдь под шубой,4_1_23
323,Сардина,4_1_24
324,Сардина консервы,4_1_25
325,Сельдь  атлантическая  среднесолёная ,4_1_14
326,Сельдь  с  луком ,4_1_21
327,Сельдь  тихоокеанская  нежирная ,4_1_16
328,Сельдь атлантическая нежирная ,4_1_13
329,Сельдь копченная,4_1_19
330,Сельдь с картофелем,4_1_20
331,Сельдь тихоокеанская жирная ,4_1_15
332,Сельдь тихоокеанская среднесоленая ,4_1_17
333,Сельдь филе кусочки. Консервы,4_1_18
334,Шпроты в масле. Консервы ,4_1_9
335,Килька  балтийская ,4_1_1_1
336,Килька балтийская горячего копчения ,4_1_1_2
337,Килька  балтийская  солёная ,4_1_1_3
338,Килька соленая с луком и маслом,4_1_1_4
339,Килька  солёная  с  картофелём  и  маслом ,4_1_1_5
340,Бутерброд с килькой и яйцом,4_1_1_6
341,Килька  каспийская ,4_1_1_7
342,Килька обжареная. Консервы,4_1_1_8
343,Шпроты в масле. Консервы ,4_1_1_9
344,Салака ,4_1_1_10
345,Салака горячего копчения ,4_1_1_11
346,Сельдь  атлантическая  жирная ,4_1_1_12
347,Сельдь атлантическая нежирная ,4_1_1_13
348,Сельдь  атлантическая  среднесолёная ,4_1_1_14
349,Сельдь тихоокеанская жирная ,4_1_1_15
350,Сельдь  тихоокеанская  нежирная ,4_1_1_16
351,Сельдь тихоокеанская среднесоленая ,4_1_1_17
352,Сельдь филе кусочки. Консервы,4_1_1_18
353,Сельдь копченная,4_1_1_19
354,Сельдь с картофелем,4_1_1_20
355,Сельдь  с  луком ,4_1_1_21
356,Сельдь рубленая ,4_1_1_22
357,Салат сельдь под шубой,4_1_1_23
358,Сардина,4_1_1_24
359,Сардина консервы,4_1_1_25
360,Иваси,4_1_1_26
361,Иваси консервы,4_1_1_27
362,Бутерброд  с  сельдью ,4_1_1_28
363,Тунец  ,4_1_10_1
364,Тунец натуральный. Консервы   ,4_1_10_2
365,Тунец  в  масле.  Консервы  ,4_1_10_3
366,Зубатка  пёстрая  ,4_1_11_1
367,Зубатка отварная,4_1_11_2
368,Зубатка жареная,4_1_11_3
369,Зубатка, запеченная в сметанном соусе,4_1_11_4
370,Мойва весенняя  ,4_1_12_1
371,Мойва осенняя  ,4_1_12_2
372,Мойва сезонная,4_1_12_3
373,Мойва жареная,4_1_12_4
374,Мойва холодного копчения,4_1_12_5
375,Пеламида  ,4_1_13_1
376,Сом  ,4_1_13_2
377,Сом -  припущенный,4_1_13_3
378,Сом в томатном соусе. Консервы   ,4_1_13_4
379,Угорь   ,4_1_13_5
380,Кефаль,4_1_13_6
381,Щука  ,4_1_13_7
382,Щука  отварная ,4_1_13_8
383,Щука припущенная,4_1_13_9
384,Щука фаршированная,4_1_13_10
385,Щука в томатном соусе. Консервы   ,4_1_13_11
386,Сайра,4_1_13_12
387,Сайра. Консервы,4_1_13_13
388,Анчоус в т.ч. хамса,4_1_13_14
389,Скумбрия атлантическая ,4_1_2_1
390,Скумбрия холодного копчения ,4_1_2_2
391,Скумбрия  натуральная.  Консервы ,4_1_2_3
392,Скумбрия  в  масле.  Консервы ,4_1_2_4
393,Скумбрия  дальневосточная ,4_1_2_5
394,Скумбрия  курильская  натуральная.  Консервы ,4_1_2_6
395,Ставрида  океаническая ,4_1_3_1
396,Ставрида  отварная ,4_1_3_2
397,Ставрида  припущенная ,4_1_3_3
398,Ставрида жареная,4_1_3_4
399,Желтый полосатик сушенный,4_1_3_5
400,Минтай ,4_1_4_1
401,Минтай припущенный,4_1_4_2
402,Фрикадельки  из  минтая ,4_1_4_3
